,sex,age,race,c_charge_degree,priors_count,is_recid
114,Male,42,Caucasian,F,1,neg
115,Male,41,African-American,F,10,neg
116,Male,22,African-American,F,0,neg
117,Male,33,African-American,F,28,neg
118,Male,31,African-American,M,1,pos
119,Female,30,Other,F,1,pos
120,Male,31,Caucasian,F,13,neg
121,Male,27,African-American,F,3,neg
122,Male,56,African-American,F,8,pos
123,Male,52,Caucasian,M,3,pos
124,Male,33,African-American,F,19,neg
125,Female,64,Caucasian,M,2,pos
126,Male,22,Caucasian,F,4,neg
127,Male,42,Caucasian,F,6,pos
128,Female,25,Caucasian,F,2,pos
129,Male,30,Caucasian,M,1,pos
130,Male,28,Caucasian,F,2,pos
131,Female,37,Other,M,2,pos
132,Male,28,Caucasian,M,0,neg
133,Female,24,African-American,M,0,pos
134,Female,29,Caucasian,F,10,neg
135,Male,44,Caucasian,M,2,neg
136,Female,30,Hispanic,F,4,neg
137,Male,32,African-American,F,3,neg
138,Male,31,Caucasian,M,2,neg
139,Male,31,African-American,M,1,neg
140,Male,59,Caucasian,F,1,neg
141,Female,45,Caucasian,F,4,pos
142,Female,20,African-American,F,1,pos
143,Female,43,Caucasian,M,0,pos
144,Male,38,African-American,F,9,neg
145,Male,32,African-American,F,11,neg
146,Male,33,African-American,M,8,neg
147,Female,31,African-American,F,0,neg
148,Female,33,African-American,F,7,neg
149,Male,27,African-American,F,2,neg
150,Female,20,African-American,F,0,pos
151,Female,26,Caucasian,M,0,pos
152,Female,61,African-American,F,1,neg
153,Male,52,Other,F,13,neg
154,Male,63,Hispanic,F,1,pos
155,Female,32,African-American,F,4,neg
156,Male,29,Hispanic,F,1,pos
157,Female,46,Other,F,1,pos
158,Female,26,African-American,M,2,neg
159,Male,55,African-American,M,3,pos
160,Male,39,Caucasian,M,1,pos
161,Female,30,Caucasian,F,3,neg
162,Male,30,African-American,F,1,pos
163,Male,48,Caucasian,M,2,pos
164,Male,22,African-American,F,1,pos
165,Male,46,Caucasian,F,6,neg
166,Female,49,Caucasian,F,6,pos
167,Male,31,Caucasian,F,0,pos
168,Male,25,African-American,M,1,neg
169,Male,23,Hispanic,F,0,pos
170,Female,32,African-American,F,5,pos
171,Male,52,Hispanic,M,2,pos
172,Male,62,African-American,F,8,pos
173,Female,37,Caucasian,F,6,pos
174,Male,55,Caucasian,F,1,pos
175,Male,31,Hispanic,F,8,neg
176,Male,28,African-American,M,6,neg
177,Male,54,Hispanic,F,2,pos
178,Male,58,Hispanic,F,0,pos
179,Male,78,Caucasian,M,1,neg
180,Male,56,Caucasian,F,0,pos
181,Male,24,Other,F,0,pos
182,Male,38,African-American,F,22,neg
183,Male,22,African-American,F,1,neg
184,Male,47,African-American,M,23,neg
185,Male,23,African-American,M,0,neg
186,Male,57,Hispanic,F,1,pos
187,Female,38,Caucasian,F,2,neg
188,Male,66,African-American,F,3,neg
189,Male,45,Caucasian,M,8,neg
190,Female,52,Other,M,0,neg
191,Male,32,African-American,F,13,neg
192,Male,37,African-American,M,2,neg
193,Male,39,Caucasian,F,0,neg
194,Male,26,African-American,F,9,neg
195,Male,45,Caucasian,F,2,pos
196,Male,23,African-American,F,0,neg
197,Male,34,African-American,M,2,neg
198,Female,23,African-American,M,1,pos
199,Male,36,Other,M,2,neg
200,Male,50,Caucasian,F,1,pos
201,Female,37,Caucasian,M,0,pos
202,Male,44,Caucasian,M,4,pos
203,Female,35,African-American,F,23,neg
204,Male,24,Other,F,5,neg
205,Male,26,African-American,F,2,neg
206,Male,27,African-American,M,0,pos
207,Female,28,African-American,F,0,pos
208,Male,43,Caucasian,F,11,neg
209,Female,28,Caucasian,F,7,neg
210,Male,38,African-American,F,2,pos
211,Male,27,Caucasian,M,2,pos
212,Female,28,African-American,F,1,pos
213,Male,56,Caucasian,F,7,neg
214,Male,38,African-American,F,15,pos
215,Male,28,African-American,M,2,pos
216,Male,45,African-American,F,3,pos
217,Male,28,Hispanic,M,0,pos
218,Male,61,Caucasian,F,1,pos
219,Female,51,Caucasian,M,0,neg
220,Male,51,Caucasian,M,0,pos
221,Male,36,Other,M,1,neg
222,Male,48,African-American,F,0,pos
223,Male,37,Caucasian,F,4,neg
224,Female,30,African-American,F,2,pos
225,Female,41,African-American,M,5,pos
226,Male,27,African-American,F,11,neg
227,Male,37,African-American,M,0,neg
228,Male,33,Other,F,4,neg
229,Male,54,African-American,F,11,pos
230,Male,23,African-American,F,2,pos
231,Female,26,African-American,F,2,neg
232,Male,41,African-American,M,0,pos
233,Male,52,Caucasian,F,0,pos
234,Male,43,Caucasian,F,13,neg
235,Male,52,African-American,F,0,pos
236,Male,28,Caucasian,F,1,pos
237,Male,30,African-American,M,11,neg
238,Male,28,Caucasian,F,1,pos
239,Male,22,African-American,F,0,pos
240,Male,30,African-American,F,4,pos
241,Male,25,Hispanic,F,4,pos
242,Male,31,Caucasian,F,0,neg
243,Male,37,Caucasian,F,0,neg
244,Male,32,African-American,F,14,pos
245,Male,26,African-American,M,4,pos
246,Male,53,Caucasian,M,1,pos
247,Male,28,African-American,F,25,neg
248,Male,44,Caucasian,M,8,neg
249,Male,25,African-American,F,0,pos
250,Male,22,Caucasian,M,1,neg
251,Female,37,Other,M,0,pos
252,Female,40,Other,F,3,pos
253,Male,36,Caucasian,F,8,neg
254,Male,30,Caucasian,F,4,pos
255,Male,22,African-American,M,3,neg
256,Female,24,Caucasian,M,1,neg
257,Male,27,African-American,M,3,neg
258,Female,31,Hispanic,M,0,pos
259,Male,23,Hispanic,F,1,neg
260,Female,23,Caucasian,F,5,neg
261,Male,24,Hispanic,M,0,pos
262,Male,29,African-American,M,1,pos
263,Male,20,African-American,F,1,neg
264,Male,30,African-American,F,2,neg
265,Male,39,Other,F,0,pos
266,Male,27,African-American,F,4,pos
267,Male,31,Caucasian,M,2,neg
268,Female,37,African-American,F,2,pos
269,Male,20,African-American,F,0,pos
270,Male,22,Hispanic,F,0,pos
271,Female,52,African-American,F,0,pos
272,Female,23,African-American,F,0,neg
273,Female,48,African-American,F,0,pos
274,Male,66,African-American,F,8,neg
275,Male,25,Caucasian,F,0,pos
276,Male,27,Caucasian,F,0,neg
277,Male,30,African-American,F,11,neg
278,Male,22,African-American,M,3,neg
279,Female,22,Caucasian,F,1,pos
280,Male,35,African-American,F,2,pos
281,Male,32,Caucasian,F,2,pos
282,Female,41,African-American,M,2,pos
283,Female,25,Other,F,0,pos
284,Male,44,African-American,M,24,pos
285,Male,52,African-American,F,3,neg
286,Male,43,African-American,F,0,pos
287,Male,37,Caucasian,F,3,pos
288,Male,28,African-American,M,3,neg
289,Male,70,Caucasian,M,1,pos
290,Male,54,Caucasian,F,6,neg
291,Male,46,Caucasian,F,3,pos
292,Male,21,African-American,M,0,neg
293,Male,26,African-American,M,1,neg
294,Male,38,Hispanic,F,3,neg
295,Male,34,Caucasian,M,5,pos
296,Male,19,African-American,F,1,neg
297,Male,34,African-American,M,5,pos
298,Male,23,Caucasian,F,0,neg
299,Male,34,African-American,F,5,neg
300,Male,30,African-American,F,2,pos
301,Male,39,African-American,F,6,neg
302,Male,24,Other,F,0,pos
303,Male,33,Caucasian,M,1,neg
304,Male,58,Caucasian,F,2,pos
305,Female,21,African-American,M,0,pos
306,Male,21,African-American,F,1,neg
307,Male,23,African-American,M,4,neg
308,Male,62,Caucasian,F,0,pos
309,Male,27,African-American,M,4,neg
310,Male,37,Caucasian,F,5,pos
311,Male,43,Other,F,2,neg
312,Female,32,African-American,F,5,pos
313,Male,23,Hispanic,F,0,pos
314,Male,27,African-American,M,0,pos
315,Male,44,Caucasian,M,0,neg
316,Male,28,Caucasian,M,3,neg
317,Female,42,Caucasian,F,0,pos
318,Male,24,Other,F,9,neg
319,Male,27,African-American,F,0,pos
320,Male,20,African-American,F,0,neg
321,Female,51,Caucasian,M,0,pos
322,Male,56,Caucasian,M,0,pos
323,Male,29,African-American,F,7,pos
324,Male,20,African-American,F,0,neg
325,Male,53,Caucasian,F,6,pos
326,Male,27,Caucasian,F,8,pos
327,Male,24,African-American,F,2,neg
328,Male,53,Caucasian,F,36,neg
329,Male,28,Caucasian,M,2,neg
330,Male,45,African-American,F,1,pos
331,Male,21,Hispanic,F,3,neg
332,Female,36,African-American,F,0,pos
333,Female,25,Caucasian,M,2,neg
334,Female,23,Hispanic,M,1,neg
335,Male,28,Caucasian,F,1,pos
336,Female,21,African-American,F,0,neg
337,Male,36,Caucasian,M,0,pos
338,Male,24,African-American,F,0,pos
339,Male,28,African-American,F,3,neg
340,Male,30,Other,F,1,neg
341,Male,29,African-American,F,0,pos
342,Female,30,Caucasian,M,0,pos
343,Male,51,Hispanic,M,1,pos
344,Male,33,Other,F,3,pos
345,Female,25,African-American,F,2,pos
346,Male,32,African-American,F,12,neg
347,Male,23,African-American,F,1,pos
348,Male,47,African-American,F,3,pos
349,Female,32,Hispanic,F,1,neg
350,Male,37,Caucasian,F,0,pos
351,Male,19,African-American,F,2,neg
352,Male,27,Hispanic,M,0,pos
353,Male,39,Other,M,0,pos
354,Female,21,Caucasian,F,0,pos
355,Male,69,Caucasian,M,0,pos
356,Male,21,Caucasian,F,2,pos
357,Male,26,African-American,M,6,neg
358,Male,22,Caucasian,F,0,pos
359,Female,23,African-American,F,0,neg
360,Male,49,African-American,F,3,pos
361,Male,29,African-American,M,2,neg
362,Female,60,Caucasian,M,0,pos
363,Female,26,African-American,M,0,pos
364,Male,23,African-American,F,3,neg
365,Male,34,Hispanic,M,2,neg
366,Female,20,Other,F,1,pos
367,Male,36,Hispanic,F,1,pos
368,Male,30,Caucasian,F,0,pos
369,Male,21,African-American,F,1,neg
370,Male,22,Caucasian,M,2,neg
371,Male,57,African-American,F,18,pos
372,Male,21,African-American,F,4,neg
373,Male,21,African-American,F,0,neg
374,Male,34,Caucasian,M,1,pos
375,Female,50,Caucasian,M,1,neg
376,Male,40,Caucasian,F,0,neg
377,Male,25,African-American,F,7,neg
378,Female,53,Caucasian,M,1,pos
379,Female,24,African-American,F,0,pos
380,Male,42,African-American,F,1,pos
381,Male,28,African-American,M,1,pos
382,Male,24,Caucasian,M,1,pos
383,Male,26,African-American,F,6,neg
384,Male,22,African-American,F,4,neg
385,Male,21,Caucasian,M,3,pos
386,Male,37,African-American,F,23,neg
387,Male,35,African-American,F,2,pos
388,Male,53,African-American,F,2,pos
389,Male,60,African-American,F,1,pos
390,Male,29,African-American,F,7,neg
391,Male,48,Caucasian,F,23,neg
392,Female,52,Caucasian,M,0,pos
393,Male,27,African-American,F,12,neg
394,Male,28,African-American,F,5,neg
395,Male,33,Caucasian,M,3,pos
396,Female,28,Hispanic,F,0,pos
397,Male,47,Caucasian,F,5,neg
398,Male,36,African-American,F,14,neg
399,Male,29,African-American,F,2,pos
400,Male,22,African-American,M,0,neg
401,Male,26,African-American,F,6,pos
402,Male,25,Caucasian,F,0,pos
403,Male,68,Caucasian,F,2,pos
404,Male,56,African-American,F,5,pos
405,Male,27,African-American,F,9,neg
406,Male,52,Caucasian,F,4,neg
407,Male,32,African-American,F,3,pos
408,Male,60,Other,F,4,pos
409,Male,23,Hispanic,M,1,pos
410,Female,39,Caucasian,M,0,pos
411,Male,56,Caucasian,M,0,pos
412,Female,22,African-American,F,0,pos
413,Female,27,African-American,F,1,neg
414,Male,53,African-American,F,11,pos
415,Male,25,Caucasian,M,0,neg
416,Male,21,Hispanic,M,0,pos
417,Male,22,Caucasian,F,0,pos
418,Female,58,Caucasian,M,2,pos
419,Male,31,African-American,M,7,neg
420,Male,22,Caucasian,F,1,neg
421,Male,28,African-American,F,8,neg
422,Male,42,Other,F,1,pos
423,Male,20,African-American,F,0,neg
424,Male,29,Caucasian,M,0,neg
425,Male,29,African-American,F,8,pos
426,Male,58,African-American,M,21,neg
427,Male,22,African-American,F,3,pos
428,Male,48,Hispanic,M,1,neg
429,Male,37,Caucasian,F,0,pos
430,Male,57,African-American,F,1,neg
431,Male,27,Caucasian,M,3,pos
432,Male,26,African-American,F,3,pos
433,Male,24,Caucasian,F,3,neg
434,Male,33,Caucasian,F,0,pos
435,Male,29,African-American,F,2,pos
436,Female,24,African-American,F,3,neg
437,Male,19,Caucasian,F,1,neg
438,Male,36,Caucasian,M,2,pos
439,Female,24,Caucasian,F,0,pos
440,Male,34,Caucasian,M,0,pos
441,Male,25,Hispanic,F,2,neg
442,Male,20,African-American,F,1,neg
443,Male,28,Hispanic,M,2,neg
444,Male,24,African-American,M,1,neg
445,Male,61,Caucasian,F,4,pos
446,Female,50,African-American,F,3,pos
447,Male,30,African-American,M,1,pos
448,Male,38,African-American,F,5,pos
449,Male,24,Caucasian,M,0,pos
450,Male,45,African-American,F,16,pos
451,Female,46,African-American,F,2,neg
452,Male,41,Caucasian,M,0,neg
453,Male,20,Other,F,0,neg
454,Male,27,African-American,M,13,neg
455,Female,51,African-American,F,16,pos
456,Male,26,African-American,M,1,neg
457,Male,29,African-American,F,3,neg
458,Male,52,Caucasian,F,6,neg
459,Male,28,Caucasian,F,1,neg
460,Female,34,Native American,F,4,neg
461,Male,55,African-American,F,5,neg
462,Male,26,African-American,F,10,neg
463,Male,28,African-American,F,5,pos
464,Male,63,Caucasian,F,2,pos
465,Male,42,African-American,F,0,pos
466,Male,23,African-American,F,6,neg
467,Male,54,African-American,F,28,neg
468,Male,35,African-American,F,8,neg
469,Female,24,African-American,F,6,neg
470,Male,54,African-American,M,2,pos
471,Male,58,African-American,M,12,neg
472,Male,23,Caucasian,M,1,neg
473,Male,35,African-American,M,1,pos
474,Male,20,African-American,F,1,neg
475,Male,51,Caucasian,F,0,pos
476,Male,24,Hispanic,F,0,pos
477,Male,37,Caucasian,F,3,pos
478,Male,47,Caucasian,F,3,pos
479,Male,34,Caucasian,F,4,neg
480,Male,56,Caucasian,F,0,pos
481,Male,34,Hispanic,F,4,neg
482,Male,59,Caucasian,F,1,neg
483,Male,35,Asian,F,0,pos
484,Male,58,Hispanic,F,1,pos
485,Male,29,Hispanic,M,2,pos
486,Female,24,Caucasian,F,6,neg
487,Male,21,Caucasian,M,2,neg
488,Male,26,African-American,M,2,pos
489,Male,50,Asian,F,5,neg
490,Male,26,African-American,F,1,pos
491,Female,30,Caucasian,M,0,pos
492,Male,29,Caucasian,F,6,neg
493,Male,29,Caucasian,M,0,neg
494,Male,54,African-American,M,0,pos
495,Male,29,African-American,F,4,neg
496,Female,59,Caucasian,M,0,pos
497,Male,38,African-American,F,0,pos
498,Female,22,Hispanic,F,2,neg
499,Male,29,African-American,F,4,neg
500,Male,27,Caucasian,M,1,neg
501,Male,26,Hispanic,F,7,neg
502,Male,52,Hispanic,F,20,pos
503,Male,66,African-American,F,33,neg
504,Male,27,Caucasian,F,2,pos
505,Male,51,Caucasian,M,1,pos
506,Male,35,Caucasian,F,1,pos
507,Male,26,African-American,F,1,pos
508,Male,52,Caucasian,M,4,pos
509,Female,35,African-American,M,12,pos
510,Male,48,Other,F,12,pos
511,Female,26,African-American,M,0,pos
512,Female,48,Caucasian,M,0,pos
513,Male,30,Hispanic,M,7,pos
514,Male,28,Other,M,2,pos
515,Male,33,African-American,M,2,pos
516,Female,34,African-American,F,6,pos
517,Male,25,Other,M,0,pos
518,Male,59,African-American,F,10,neg
519,Male,29,African-American,F,5,neg
520,Male,24,Caucasian,F,0,pos
521,Male,48,Caucasian,F,1,neg
522,Male,55,African-American,M,0,neg
523,Male,52,African-American,M,4,pos
524,Male,20,African-American,F,0,neg
525,Male,25,Caucasian,F,4,neg
526,Male,24,Caucasian,F,0,pos
527,Male,23,Caucasian,M,0,pos
528,Male,27,Caucasian,F,6,neg
529,Male,25,African-American,M,1,neg
530,Male,31,African-American,F,0,pos
531,Male,25,African-American,F,6,neg
532,Male,32,Caucasian,F,1,neg
533,Male,21,Caucasian,F,0,neg
534,Male,37,Other,F,1,pos
535,Male,25,Caucasian,F,0,pos
536,Male,32,Hispanic,F,20,pos
537,Male,35,African-American,F,0,pos
538,Male,42,African-American,F,14,neg
539,Male,24,Caucasian,M,9,neg
540,Male,22,Caucasian,F,6,neg
541,Male,21,Hispanic,F,0,neg
542,Male,47,Caucasian,M,1,pos
543,Male,27,African-American,F,5,neg
544,Male,43,Hispanic,M,2,neg
545,Male,46,Caucasian,F,2,neg
546,Male,44,African-American,M,1,pos
547,Male,27,African-American,F,0,pos
548,Male,23,Caucasian,F,2,pos
549,Female,50,Hispanic,F,1,pos
550,Male,42,African-American,F,8,pos
551,Male,58,African-American,F,6,pos
552,Male,26,African-American,F,3,neg
553,Female,48,Other,F,0,pos
554,Male,39,African-American,F,3,neg
555,Male,21,African-American,F,3,neg
556,Male,63,Caucasian,M,1,pos
557,Male,22,African-American,F,3,neg
558,Male,50,African-American,M,3,pos
559,Male,38,African-American,F,0,pos
560,Male,41,Caucasian,F,1,pos
561,Male,28,African-American,F,16,neg
562,Female,30,African-American,M,0,pos
563,Male,23,African-American,F,1,pos
564,Male,25,Caucasian,F,2,neg
565,Male,40,Caucasian,F,5,pos
566,Male,24,Hispanic,F,8,pos
567,Male,27,African-American,M,5,neg
568,Male,44,Caucasian,M,11,pos
569,Female,35,African-American,F,6,neg
570,Male,42,Caucasian,M,0,pos
571,Male,38,African-American,F,15,neg
572,Male,26,Hispanic,F,4,pos
573,Female,25,African-American,M,0,pos
574,Male,24,Caucasian,F,1,pos
575,Male,64,Hispanic,F,1,pos
576,Female,49,Caucasian,M,2,neg
577,Male,50,Caucasian,F,5,neg
578,Male,28,Caucasian,F,8,neg
579,Male,66,Caucasian,M,0,neg
580,Female,46,Caucasian,M,0,pos
581,Male,30,African-American,F,5,neg
582,Female,22,Caucasian,M,0,pos
583,Male,23,Caucasian,M,1,pos
584,Male,30,Other,M,0,neg
585,Male,24,African-American,F,10,neg
586,Male,31,Hispanic,M,0,pos
587,Male,31,Other,F,1,pos
588,Male,21,African-American,F,4,neg
589,Male,28,African-American,F,4,neg
590,Male,25,African-American,M,0,neg
591,Female,21,Caucasian,F,0,pos
592,Male,27,African-American,M,0,pos
593,Male,20,Hispanic,M,0,neg
594,Male,32,Hispanic,F,1,pos
595,Female,24,Caucasian,F,0,pos
596,Male,20,African-American,F,1,pos
597,Male,31,African-American,M,3,neg
598,Male,27,African-American,M,3,neg
599,Male,59,African-American,F,17,neg
600,Male,40,African-American,F,0,pos
601,Male,22,African-American,F,11,neg
602,Female,38,African-American,F,1,pos
603,Male,36,Hispanic,M,1,neg
604,Male,30,African-American,M,1,pos
605,Male,27,Caucasian,F,6,neg
606,Male,43,African-American,M,1,pos
607,Female,59,Caucasian,M,0,pos
608,Male,37,Caucasian,M,2,pos
609,Male,28,African-American,M,5,neg
610,Male,38,Caucasian,F,0,pos
611,Male,22,African-American,F,0,neg
612,Male,43,Hispanic,M,1,pos
613,Male,25,African-American,F,4,neg
614,Male,51,Caucasian,M,0,pos
615,Male,30,Hispanic,F,6,neg
616,Male,29,Caucasian,M,2,neg
617,Male,28,African-American,F,10,pos
618,Male,26,African-American,M,6,pos
619,Male,55,African-American,M,9,neg
620,Female,23,Caucasian,F,3,pos
621,Female,22,African-American,M,0,pos
622,Female,19,Caucasian,F,2,neg
623,Male,31,African-American,M,1,pos
624,Male,29,African-American,M,0,pos
625,Male,61,African-American,F,15,neg
626,Male,24,African-American,F,4,neg
627,Male,31,Hispanic,M,0,pos
628,Male,20,African-American,F,4,neg
629,Male,26,Caucasian,F,3,neg
630,Male,27,Caucasian,M,5,pos
631,Male,25,Caucasian,F,1,pos
632,Male,23,Caucasian,F,3,neg
633,Male,38,African-American,F,0,pos
634,Male,27,African-American,F,18,neg
635,Female,35,Caucasian,F,0,neg
636,Male,22,Other,F,0,pos
637,Female,58,African-American,F,4,neg
638,Female,57,Caucasian,M,0,neg
639,Male,21,African-American,F,0,pos
640,Female,22,African-American,F,0,pos
641,Male,30,African-American,F,0,pos
642,Male,24,Caucasian,F,1,neg
643,Male,22,Caucasian,F,2,neg
644,Male,29,Caucasian,F,3,neg
645,Male,30,African-American,F,8,neg
646,Female,31,African-American,F,10,pos
647,Female,45,Caucasian,F,1,pos
648,Male,23,African-American,F,4,pos
649,Male,39,Caucasian,F,2,neg
650,Male,31,African-American,F,0,neg
651,Male,22,African-American,F,1,neg
652,Female,27,African-American,F,9,neg
653,Male,27,African-American,F,13,neg
654,Male,38,Caucasian,F,1,neg
655,Male,31,African-American,F,23,neg
656,Male,47,African-American,F,20,pos
657,Male,22,African-American,F,3,pos
658,Male,35,African-American,M,1,neg
659,Male,23,Hispanic,M,2,neg
660,Male,65,African-American,M,2,neg
661,Male,35,African-American,M,0,pos
662,Female,33,African-American,F,0,pos
663,Male,53,Caucasian,M,1,pos
664,Male,52,Hispanic,F,0,pos
665,Male,21,African-American,F,0,pos
666,Male,37,African-American,F,11,pos
667,Male,30,Other,M,4,neg
668,Male,33,Caucasian,F,5,pos
669,Male,31,African-American,M,2,pos
670,Male,54,Other,F,0,pos
671,Female,31,African-American,M,0,pos
672,Female,59,Caucasian,F,2,pos
673,Male,27,African-American,M,0,pos
674,Male,36,African-American,M,0,neg
675,Male,46,African-American,F,17,neg
676,Male,22,African-American,F,3,pos
677,Female,28,Caucasian,M,0,pos
678,Female,34,Caucasian,F,15,neg
679,Male,29,Hispanic,F,7,neg
680,Male,23,African-American,M,2,neg
681,Male,27,African-American,F,3,pos
682,Male,21,Asian,F,0,neg
683,Male,48,Caucasian,F,3,neg
684,Male,30,African-American,F,15,neg
685,Female,32,African-American,F,2,pos
686,Male,31,African-American,F,5,pos
687,Male,36,African-American,M,4,pos
688,Male,36,African-American,M,1,pos
689,Male,44,African-American,F,14,neg
690,Male,53,Caucasian,F,2,pos
691,Male,33,African-American,M,3,neg
692,Male,21,African-American,F,2,pos
693,Male,33,African-American,F,4,neg
694,Male,47,Caucasian,F,2,neg
695,Male,57,African-American,F,20,neg
696,Male,28,African-American,M,2,pos
697,Male,24,African-American,M,1,pos
698,Male,44,African-American,F,1,pos
699,Male,46,African-American,F,0,pos
700,Male,37,African-American,F,6,pos
701,Male,26,African-American,M,10,neg
702,Male,27,African-American,F,10,neg
703,Male,40,Caucasian,F,1,pos
704,Female,60,Caucasian,F,9,neg
705,Male,53,Caucasian,F,1,pos
706,Male,26,African-American,F,8,pos
707,Male,28,African-American,F,0,pos
708,Male,23,Hispanic,M,0,pos
709,Female,46,Caucasian,F,2,pos
710,Male,23,African-American,F,0,neg
711,Male,37,African-American,F,5,neg
712,Male,44,African-American,M,1,pos
713,Male,50,African-American,F,18,neg
714,Male,45,African-American,M,0,pos
715,Male,22,African-American,F,1,pos
716,Male,26,Caucasian,F,1,neg
717,Male,62,Caucasian,F,0,pos
718,Male,34,Caucasian,M,0,neg
719,Male,24,Hispanic,F,1,pos
720,Male,21,Caucasian,M,0,pos
721,Male,25,Caucasian,F,0,neg
722,Male,68,Caucasian,M,0,pos
723,Male,41,Caucasian,M,2,pos
724,Male,21,Caucasian,F,1,pos
725,Female,37,Hispanic,F,1,pos
726,Male,22,African-American,F,0,pos
727,Male,38,Caucasian,F,11,neg
728,Male,42,Caucasian,F,1,pos
729,Male,22,Caucasian,F,1,neg
730,Male,45,African-American,F,0,neg
731,Female,36,African-American,F,4,neg
732,Male,48,African-American,F,2,pos
733,Female,45,Caucasian,F,1,pos
734,Male,23,African-American,F,6,neg
735,Male,24,African-American,F,0,pos
736,Male,29,African-American,F,0,pos
737,Male,24,African-American,F,0,pos
738,Male,50,African-American,F,11,pos
739,Male,34,African-American,F,10,neg
740,Male,23,African-American,F,0,pos
